open,high,low,close,volume,amount,timestamps
7.379714,7.3897376,7.375239,7.385058,32432.379,244912.34,2025-09-19 15:46:00
7.3803973,7.3868737,7.3707952,7.3791037,31334.773,226373.25,2025-09-19 15:47:00
7.37693,7.3824167,7.3682694,7.3742013,37141.746,273666.56,2025-09-19 15:48:00
7.3725653,7.3789926,7.3652267,7.3717384,37841.027,277584.88,2025-09-19 15:49:00
7.371771,7.378368,7.3590856,7.365654,115748.086,862869.1,2025-09-19 15:50:00
7.3643966,7.374636,7.358583,7.368704,42953.594,317168.25,2025-09-19 15:51:00
7.3638988,7.3899164,7.358802,7.363981,67532.2,507384.62,2025-09-19 15:52:00
7.366556,7.3737297,7.3572435,7.363856,68577.51,510990.4,2025-09-19 15:53:00
7.3654065,7.3767157,7.3610215,7.3712263,59369.47,441594.06,2025-09-19 15:54:00
7.3766694,7.3789134,7.370206,7.3708982,73815.016,547470.25,2025-09-19 15:55:00
7.3737926,7.37978,7.3661366,7.3724604,73618.016,553644.1,2025-09-19 15:56:00
7.3714747,7.38034,7.362414,7.371195,85223.13,642409.7,2025-09-19 15:57:00
7.374334,7.3806725,7.366287,7.373027,75801.78,566623.9,2025-09-19 15:58:00
7.375606,7.387364,7.3713193,7.3816786,97163.52,730557.44,2025-09-19 15:59:00
7.3897767,7.426541,7.364692,7.3856325,240557.72,1756358.5,2025-09-19 16:00:00
7.4180007,7.452597,7.401655,7.4263644,259798.02,1956206.5,2025-09-19 16:01:00
7.424239,7.465072,7.416369,7.4632835,135818.31,997108.9,2025-09-19 16:02:00
7.462741,7.4714084,7.4398236,7.4504232,173993.44,1300512.0,2025-09-19 16:03:00
7.447829,7.4609795,7.432265,7.4468684,144612.48,1077127.2,2025-09-19 16:04:00
7.443055,7.4460745,7.424558,7.4316673,88139.33,657953.0,2025-09-19 16:05:00
7.4220862,7.467633,7.401889,7.4285283,90987.21,695092.8,2025-09-19 16:06:00
7.4330845,7.4405065,7.4179335,7.4282374,81630.36,607194.9,2025-09-19 16:07:00
7.429685,7.4369307,7.4257298,7.430976,48646.555,367696.06,2025-09-19 16:08:00
